               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.057455,            0.051633,            0.026488,             0.58614,             0.58972,             0.69398,             0.35118,             0.03356,            0.030203,            0.020294,           0.0060895,           0.0060895,           0.0060895
                  81,            0.057669,            0.046879,            0.026579,             0.42131,             0.88341,             0.82883,             0.48702,            0.029718,            0.029393,            0.019609,             0.00604,             0.00604,             0.00604
                  82,            0.044337,            0.036982,            0.023331,             0.42131,             0.88341,             0.82883,             0.48702,            0.029718,            0.029393,            0.019609,           0.0059905,           0.0059905,           0.0059905
                  83,            0.048598,            0.048179,            0.024408,             0.42131,             0.88341,             0.82883,             0.48702,            0.029718,            0.029393,            0.019609,            0.005941,            0.005941,            0.005941
                  84,            0.059066,             0.05215,            0.024836,             0.42131,             0.88341,             0.82883,             0.48702,            0.029718,            0.029393,            0.019609,           0.0058915,           0.0058915,           0.0058915
                  85,            0.048166,            0.038976,            0.024696,             0.69947,                0.75,             0.85333,             0.46983,            0.028828,            0.028889,            0.018895,            0.005842,            0.005842,            0.005842
                  86,            0.048007,            0.043246,            0.022959,             0.69947,                0.75,             0.85333,             0.46983,            0.028828,            0.028889,            0.018895,           0.0057925,           0.0057925,           0.0057925
                  87,            0.057096,             0.05097,            0.024018,             0.69947,                0.75,             0.85333,             0.46983,            0.028828,            0.028889,            0.018895,            0.005743,            0.005743,            0.005743
                  88,            0.055465,            0.054686,            0.024302,             0.69947,                0.75,             0.85333,             0.46983,            0.028828,            0.028889,            0.018895,           0.0056935,           0.0056935,           0.0056935
                  89,            0.047986,            0.038887,            0.025246,             0.71416,                0.75,             0.93905,             0.43696,            0.029507,             0.02767,            0.018213,            0.005644,            0.005644,            0.005644
                  90,            0.047639,             0.05144,             0.02402,             0.71416,                0.75,             0.93905,             0.43696,            0.029507,             0.02767,            0.018213,           0.0055945,           0.0055945,           0.0055945
                  91,            0.056436,            0.053689,             0.02303,             0.71416,                0.75,             0.93905,             0.43696,            0.029507,             0.02767,            0.018213,            0.005545,            0.005545,            0.005545
                  92,            0.060248,            0.042757,            0.027106,             0.71416,                0.75,             0.93905,             0.43696,            0.029507,             0.02767,            0.018213,           0.0054955,           0.0054955,           0.0054955
                  93,            0.057248,            0.049805,            0.023507,             0.75211,                 0.7,             0.93071,             0.49796,             0.02735,            0.026659,             0.01753,            0.005446,            0.005446,            0.005446
                  94,            0.051374,            0.041499,            0.025066,             0.75211,                 0.7,             0.93071,             0.49796,             0.02735,            0.026659,             0.01753,           0.0053965,           0.0053965,           0.0053965
                  95,            0.052956,            0.044715,            0.022454,             0.75211,                 0.7,             0.93071,             0.49796,             0.02735,            0.026659,             0.01753,            0.005347,            0.005347,            0.005347
                  96,            0.050423,            0.037012,             0.02174,             0.75211,                 0.7,             0.93071,             0.49796,             0.02735,            0.026659,             0.01753,           0.0052975,           0.0052975,           0.0052975
                  97,            0.054311,            0.044027,            0.024516,             0.77148,             0.72457,             0.94708,             0.53122,            0.027912,            0.026128,            0.016995,            0.005248,            0.005248,            0.005248
                  98,            0.049084,             0.04013,            0.022405,             0.77148,             0.72457,             0.94708,             0.53122,            0.027912,            0.026128,            0.016995,           0.0051985,           0.0051985,           0.0051985
                  99,            0.054578,            0.040604,            0.023374,             0.77148,             0.72457,             0.94708,             0.53122,            0.027912,            0.026128,            0.016995,            0.005149,            0.005149,            0.005149
                 100,            0.052204,            0.039478,            0.030536,             0.77148,             0.72457,             0.94708,             0.53122,            0.027912,            0.026128,            0.016995,           0.0050995,           0.0050995,           0.0050995
                 101,            0.048864,             0.04148,            0.021779,             0.79306,             0.72908,             0.95405,             0.58365,            0.024438,            0.025429,            0.016523,             0.00505,             0.00505,             0.00505
                 102,            0.049715,            0.038778,            0.024283,             0.79306,             0.72908,             0.95405,             0.58365,            0.024438,            0.025429,            0.016523,           0.0050005,           0.0050005,           0.0050005
                 103,            0.050678,            0.036133,            0.023908,             0.79306,             0.72908,             0.95405,             0.58365,            0.024438,            0.025429,            0.016523,            0.004951,            0.004951,            0.004951
                 104,             0.05228,            0.038168,            0.024569,             0.79306,             0.72908,             0.95405,             0.58365,            0.024438,            0.025429,            0.016523,           0.0049015,           0.0049015,           0.0049015
                 105,            0.049703,            0.039068,            0.021914,             0.53513,                   1,             0.94292,             0.54427,            0.025575,            0.024966,            0.016124,            0.004852,            0.004852,            0.004852
                 106,            0.046731,            0.040747,            0.025883,             0.53513,                   1,             0.94292,             0.54427,            0.025575,            0.024966,            0.016124,           0.0048025,           0.0048025,           0.0048025
                 107,            0.055623,            0.045748,            0.021657,             0.53513,                   1,             0.94292,             0.54427,            0.025575,            0.024966,            0.016124,            0.004753,            0.004753,            0.004753
                 108,             0.04753,            0.047323,            0.022884,             0.53513,                   1,             0.94292,             0.54427,            0.025575,            0.024966,            0.016124,           0.0047035,           0.0047035,           0.0047035
                 109,            0.059382,            0.040171,             0.02466,             0.46127,             0.95205,             0.91238,             0.54526,             0.02594,            0.024649,            0.015559,            0.004654,            0.004654,            0.004654
                 110,            0.047571,            0.040578,            0.023502,             0.46127,             0.95205,             0.91238,             0.54526,             0.02594,            0.024649,            0.015559,           0.0046045,           0.0046045,           0.0046045
                 111,            0.043771,            0.039821,            0.020069,             0.46127,             0.95205,             0.91238,             0.54526,             0.02594,            0.024649,            0.015559,            0.004555,            0.004555,            0.004555
                 112,            0.047594,            0.035641,            0.021584,             0.46127,             0.95205,             0.91238,             0.54526,             0.02594,            0.024649,            0.015559,           0.0045055,           0.0045055,           0.0045055
                 113,            0.054952,             0.03684,            0.025671,             0.92877,             0.71953,              0.9456,             0.61089,            0.024909,            0.024632,            0.015031,            0.004456,            0.004456,            0.004456
                 114,            0.051739,            0.042192,            0.021374,             0.92877,             0.71953,              0.9456,             0.61089,            0.024909,            0.024632,            0.015031,           0.0044065,           0.0044065,           0.0044065
                 115,            0.050917,            0.046273,             0.02201,             0.92877,             0.71953,              0.9456,             0.61089,            0.024909,            0.024632,            0.015031,            0.004357,            0.004357,            0.004357
                 116,            0.047307,            0.036182,            0.021039,             0.92877,             0.71953,              0.9456,             0.61089,            0.024909,            0.024632,            0.015031,           0.0043075,           0.0043075,           0.0043075
                 117,            0.054207,            0.037249,            0.022228,             0.60356,             0.88599,              0.9456,             0.62941,            0.024183,            0.023523,            0.014496,            0.004258,            0.004258,            0.004258
                 118,            0.043453,             0.04921,            0.021061,             0.60356,             0.88599,              0.9456,             0.62941,            0.024183,            0.023523,            0.014496,           0.0042085,           0.0042085,           0.0042085
                 119,            0.053062,            0.041679,            0.021595,             0.60356,             0.88599,              0.9456,             0.62941,            0.024183,            0.023523,            0.014496,            0.004159,            0.004159,            0.004159
                 120,            0.046789,            0.028963,            0.020216,             0.60356,             0.88599,              0.9456,             0.62941,            0.024183,            0.023523,            0.014496,           0.0041095,           0.0041095,           0.0041095
                 121,            0.048324,            0.036034,             0.02012,             0.68985,             0.86168,             0.94238,             0.66992,            0.022131,            0.023174,            0.014113,             0.00406,             0.00406,             0.00406
                 122,            0.051905,            0.040202,            0.028664,             0.68985,             0.86168,             0.94238,             0.66992,            0.022131,            0.023174,            0.014113,           0.0040105,           0.0040105,           0.0040105
                 123,            0.051101,            0.042437,            0.019943,             0.68985,             0.86168,             0.94238,             0.66992,            0.022131,            0.023174,            0.014113,            0.003961,            0.003961,            0.003961
                 124,            0.050639,            0.046317,            0.019502,             0.68985,             0.86168,             0.94238,             0.66992,            0.022131,            0.023174,            0.014113,           0.0039115,           0.0039115,           0.0039115
                 125,            0.038685,            0.032075,            0.017432,             0.61595,                   1,             0.91738,             0.56804,            0.022442,             0.02283,            0.013554,            0.003862,            0.003862,            0.003862
                 126,            0.036029,            0.032961,             0.02091,             0.61595,                   1,             0.91738,             0.56804,            0.022442,             0.02283,            0.013554,           0.0038125,           0.0038125,           0.0038125
                 127,            0.041566,            0.034068,            0.018103,             0.61595,                   1,             0.91738,             0.56804,            0.022442,             0.02283,            0.013554,            0.003763,            0.003763,            0.003763
                 128,             0.04219,            0.035236,            0.019009,             0.61595,                   1,             0.91738,             0.56804,            0.022442,             0.02283,            0.013554,           0.0037135,           0.0037135,           0.0037135
                 129,            0.050091,            0.037899,            0.022161,             0.80739,             0.97761,               0.995,             0.66377,            0.020788,             0.02283,            0.013033,            0.003664,            0.003664,            0.003664
                 130,            0.049219,            0.039412,            0.018016,             0.80739,             0.97761,               0.995,             0.66377,            0.020788,             0.02283,            0.013033,           0.0036145,           0.0036145,           0.0036145
                 131,            0.048486,            0.038611,            0.018879,             0.80739,             0.97761,               0.995,             0.66377,            0.020788,             0.02283,            0.013033,            0.003565,            0.003565,            0.003565
                 132,            0.047795,            0.035538,            0.021081,             0.80739,             0.97761,               0.995,             0.66377,            0.020788,             0.02283,            0.013033,           0.0035155,           0.0035155,           0.0035155
                 133,            0.047364,            0.035465,            0.023375,               0.807,                0.95,             0.97071,             0.55886,            0.023603,            0.023005,            0.012587,            0.003466,            0.003466,            0.003466
                 134,            0.050339,            0.042055,            0.019396,               0.807,                0.95,             0.97071,             0.55886,            0.023603,            0.023005,            0.012587,           0.0034165,           0.0034165,           0.0034165
                 135,            0.045614,            0.034866,            0.019087,               0.807,                0.95,             0.97071,             0.55886,            0.023603,            0.023005,            0.012587,            0.003367,            0.003367,            0.003367
                 136,            0.056699,            0.031795,            0.019231,               0.807,                0.95,             0.97071,             0.55886,            0.023603,            0.023005,            0.012587,           0.0033175,           0.0033175,           0.0033175
                 137,            0.039965,            0.030707,            0.016784,              0.8276,             0.98175,             0.98667,             0.70379,            0.021598,            0.022139,            0.012119,            0.003268,            0.003268,            0.003268
                 138,            0.038588,            0.033457,            0.018136,              0.8276,             0.98175,             0.98667,             0.70379,            0.021598,            0.022139,            0.012119,           0.0032185,           0.0032185,           0.0032185
                 139,             0.04693,            0.032103,            0.016161,              0.8276,             0.98175,             0.98667,             0.70379,            0.021598,            0.022139,            0.012119,            0.003169,            0.003169,            0.003169
                 140,            0.034136,            0.032952,            0.017366,              0.8276,             0.98175,             0.98667,             0.70379,            0.021598,            0.022139,            0.012119,           0.0031195,           0.0031195,           0.0031195
                 141,            0.044392,            0.030356,            0.020536,             0.91402,             0.97961,               0.995,             0.68576,            0.022058,            0.022283,            0.011726,             0.00307,             0.00307,             0.00307
                 142,            0.045589,            0.034948,            0.016605,             0.91402,             0.97961,               0.995,             0.68576,            0.022058,            0.022283,            0.011726,           0.0030205,           0.0030205,           0.0030205
                 143,            0.042978,            0.035801,            0.019883,             0.91402,             0.97961,               0.995,             0.68576,            0.022058,            0.022283,            0.011726,            0.002971,            0.002971,            0.002971
                 144,            0.044018,            0.033688,             0.01794,             0.91402,             0.97961,               0.995,             0.68576,            0.022058,            0.022283,            0.011726,           0.0029215,           0.0029215,           0.0029215
                 145,            0.051462,            0.042395,            0.024199,              0.8965,             0.98529,               0.995,             0.57249,             0.02223,            0.022414,            0.011419,            0.002872,            0.002872,            0.002872
                 146,             0.05161,            0.040797,             0.01942,              0.8965,             0.98529,               0.995,             0.57249,             0.02223,            0.022414,            0.011419,           0.0028225,           0.0028225,           0.0028225
                 147,            0.041297,            0.031005,            0.018244,              0.8965,             0.98529,               0.995,             0.57249,             0.02223,            0.022414,            0.011419,            0.002773,            0.002773,            0.002773
                 148,            0.052613,            0.032328,            0.024992,              0.8965,             0.98529,               0.995,             0.57249,             0.02223,            0.022414,            0.011419,           0.0027235,           0.0027235,           0.0027235
                 149,             0.04938,            0.032325,            0.018769,             0.84633,             0.98379,               0.995,             0.65277,            0.021618,            0.021874,            0.011186,            0.002674,            0.002674,            0.002674
                 150,            0.047516,            0.036513,            0.018305,             0.84633,             0.98379,               0.995,             0.65277,            0.021618,            0.021874,            0.011186,           0.0026245,           0.0026245,           0.0026245
                 151,            0.053894,            0.041181,            0.021018,             0.84633,             0.98379,               0.995,             0.65277,            0.021618,            0.021874,            0.011186,            0.002575,            0.002575,            0.002575
                 152,            0.045379,            0.035238,            0.019119,             0.84633,             0.98379,               0.995,             0.65277,            0.021618,            0.021874,            0.011186,           0.0025255,           0.0025255,           0.0025255
                 153,             0.04094,            0.032046,            0.021527,             0.92341,             0.98436,               0.995,             0.61792,            0.020767,            0.021653,            0.011074,            0.002476,            0.002476,            0.002476
                 154,            0.049953,            0.027454,             0.01845,             0.92341,             0.98436,               0.995,             0.61792,            0.020767,            0.021653,            0.011074,           0.0024265,           0.0024265,           0.0024265
                 155,            0.046833,            0.036503,            0.020761,             0.92341,             0.98436,               0.995,             0.61792,            0.020767,            0.021653,            0.011074,            0.002377,            0.002377,            0.002377
                 156,            0.042594,            0.032492,            0.020535,             0.92341,             0.98436,               0.995,             0.61792,            0.020767,            0.021653,            0.011074,           0.0023275,           0.0023275,           0.0023275
                 157,            0.042961,            0.036231,            0.018849,             0.93328,             0.98646,               0.995,             0.70345,            0.019059,            0.021088,            0.010948,            0.002278,            0.002278,            0.002278
                 158,            0.041088,            0.034326,            0.017886,             0.93328,             0.98646,               0.995,             0.70345,            0.019059,            0.021088,            0.010948,           0.0022285,           0.0022285,           0.0022285
                 159,            0.046952,            0.034631,            0.017799,             0.93328,             0.98646,               0.995,             0.70345,            0.019059,            0.021088,            0.010948,            0.002179,            0.002179,            0.002179
                 160,            0.047967,            0.039406,             0.01868,             0.93328,             0.98646,               0.995,             0.70345,            0.019059,            0.021088,            0.010948,           0.0021295,           0.0021295,           0.0021295
                 161,            0.043938,            0.036448,            0.022592,             0.87551,                   1,                0.97,             0.73339,            0.017907,            0.020817,            0.010973,             0.00208,             0.00208,             0.00208
                 162,            0.046993,            0.032857,            0.018473,             0.87551,                   1,                0.97,             0.73339,            0.017907,            0.020817,            0.010973,           0.0020305,           0.0020305,           0.0020305
